,Brewery Distance,Mountain Peak,Brewery Name,Peak Longitude,Peak Latitude
0,12.059106321653744,Mt. Elbert,Two Mile Brewing Co,-106.4454,39.1178
841,18.455272183724055,Mt. Massive,Aspen Brewing Company,-106.4757,39.1875
870,10.658760909710512,Mt. Massive,Two Mile Brewing Co,-106.4757,39.1875
2523,17.790089771504125,La Plata Peak,Two Mile Brewing Co,-106.4729,39.0294
3484,16.44650046859477,Mt. Lincoln,Outer Range Brewing Company,-106.1116,39.3515
3517,12.094018875435802,Mt. Lincoln,Two Mile Brewing Co,-106.1116,39.3515
3550,11.069704675144168,Mt. Lincoln,South Park Brewing,-106.1116,39.3515
3583,19.369251332888133,Mt. Lincoln,Bakers' Brewery,-106.1116,39.3515
3616,19.418659273560863,Mt. Lincoln,Pug Ryan's Steak House Brewery,-106.1116,39.3515
3649,11.695352949121823,Mt. Lincoln,Broken Compass Brewing,-106.1116,39.3515
3682,15.566128664288737,Mt. Lincoln,HighSide Brewing,-106.1116,39.3515
11107,13.274156312189646,Quandary Peak,Outer Range Brewing Company,-106.1064,39.3973
11141,14.434063463514542,Quandary Peak,Two Mile Brewing Co,-106.1064,39.3973
11175,13.658981176368723,Quandary Peak,South Park Brewing,-106.1064,39.3973
11209,16.194779769793456,Quandary Peak,Bakers' Brewery,-106.1064,39.3973
11243,16.258055929910064,Quandary Peak,Pug Ryan's Steak House Brewery,-106.1064,39.3973
11277,8.58905317118152,Quandary Peak,Broken Compass Brewing,-106.1064,39.3973
11311,12.39054859416515,Quandary Peak,HighSide Brewing,-106.1064,39.3973
19199,17.55136265546748,Mt. Bross,Outer Range Brewing Company,-106.1077,39.3354
19232,11.62494749284594,Mt. Bross,Two Mile Brewing Co,-106.1077,39.3354
19265,10.048961051639155,Mt. Bross,South Park Brewing,-106.1077,39.3354
19298,12.722621096723602,Mt. Bross,Broken Compass Brewing,-106.1077,39.3354
19331,16.665244283100552,Mt. Bross,HighSide Brewing,-106.1077,39.3354
24644,17.39275141154255,Mt. Democrat,Outer Range Brewing Company,-106.14,39.3396
24678,10.393510202394106,Mt. Democrat,Two Mile Brewing Co,-106.14,39.3396
24712,11.393859073786782,Mt. Democrat,South Park Brewing,-106.14,39.3396
24746,12.949669790583515,Mt. Democrat,Broken Compass Brewing,-106.14,39.3396
