STATE,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,3.00,3.00,5.00,11.00,16.00,14.00,19.00,17.00,17.00,19.00,15.00,13.00,15.00,14.00,15.00,16.00,18.00,20.00,23.00,25.00,25.00,28.00,35.00,36.00,45.00,51.00,59.00,66.00
AL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,8.00,8.00,9.00,9.00,7.00,4.00,3.00,3.00,5.00,5.00,4.00,5.00,5.00,5.00,7.00,9.00,15.00,23.00,25.00,30.00,37.00,52.00,55.00,66.00,68.00
AR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,4.00,5.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,7.00,13.00,18.00,23.00,29.00,34.00,44.00,53.00,58.00,70.00
AZ,0.00,0.00,0.00,0.00,0.00,6.00,8.00,8.00,7.00,7.00,11.00,11.00,17.00,34.00,40.00,48.00,45.00,45.00,39.00,36.00,31.00,31.00,33.00,33.00,33.00,34.00,37.00,45.00,55.00,59.00,77.00,91.00,110.00,130.00,146.00,157.00,170.00
CA,9.00,12.00,15.00,23.00,39.00,50.00,67.00,76.00,93.00,115.00,127.00,167.00,218.00,259.00,273.00,289.00,281.00,266.00,270.00,278.00,282.00,278.00,293.00,310.00,333.00,340.00,358.00,401.00,472.00,528.00,654.00,788.00,927.00,1106.00,1236.00,1370.00,1465.00
CO,0.00,0.00,0.00,0.00,3.00,7.00,11.00,22.00,27.00,38.00,51.00,74.00,92.00,112.00,105.00,102.00,102.00,102.00,102.00,99.00,99.00,104.00,102.00,112.00,117.00,116.00,129.00,149.00,185.00,234.00,300.00,352.00,386.00,448.00,500.00,544.00,561.00
CT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,22.00,25.00,26.00,27.00,22.00,17.00,17.00,20.00,19.00,18.00,19.00,21.00,19.00,21.00,20.00,24.00,39.00,50.00,59.00,76.00,103.00,124.00,149.00,162.00
DC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,5.00,4.00,4.00,5.00,5.00,4.00,5.00,4.00,4.00,3.00,3.00,3.00,4.00,6.00,5.00,11.00,12.00,13.00,13.00,13.00,13.00,15.00,17.00
DE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,6.00,8.00,9.00,8.00,8.00,8.00,9.00,9.00,8.00,9.00,10.00,9.00,11.00,11.00,12.00,13.00,13.00,15.00,21.00,25.00,33.00,38.00,43.00,47.00
FL,0.00,0.00,0.00,0.00,3.00,6.00,7.00,13.00,17.00,22.00,27.00,36.00,62.00,86.00,96.00,97.00,92.00,84.00,83.00,78.00,74.00,69.00,51.00,50.00,61.00,52.00,60.00,71.00,89.00,113.00,158.00,205.00,264.00,338.00,386.00,464.00,500.00
GA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,18.00,24.00,26.00,30.00,29.00,30.00,25.00,29.00,29.00,25.00,22.00,23.00,20.00,22.00,26.00,25.00,31.00,37.00,48.00,54.00,69.00,102.00,121.00,158.00,186.00
HI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,6.00,8.00,13.00,16.00,15.00,14.00,13.00,13.00,13.00,12.00,12.00,12.00,11.00,11.00,11.00,12.00,15.00,17.00,20.00,26.00,23.00,28.00,38.00,43.00,44.00
IA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,6.00,6.00,6.00,9.00,12.00,13.00,14.00,13.00,16.00,15.00,17.00,21.00,18.00,19.00,20.00,21.00,28.00,27.00,35.00,46.00,54.00,60.00,71.00,94.00,115.00,125.00,137.00,149.00
ID,0.00,0.00,0.00,3.00,3.00,3.00,3.00,5.00,8.00,10.00,11.00,15.00,24.00,28.00,29.00,25.00,24.00,20.00,19.00,20.00,19.00,20.00,20.00,20.00,24.00,25.00,25.00,33.00,39.00,42.00,51.00,57.00,67.00,76.00,87.00,101.00,118.00
IL,0.00,0.00,0.00,0.00,4.00,5.00,6.00,9.00,12.00,16.00,22.00,26.00,35.00,39.00,44.00,47.00,45.00,41.00,43.00,43.00,45.00,43.00,45.00,52.00,51.00,60.00,62.00,68.00,95.00,123.00,164.00,210.00,244.00,291.00,338.00,372.00,405.00
IN,0.00,0.00,0.00,0.00,0.00,4.00,4.00,5.00,6.00,7.00,9.00,10.00,21.00,26.00,25.00,24.00,26.00,23.00,23.00,23.00,23.00,27.00,25.00,30.00,30.00,39.00,43.00,59.00,72.00,95.00,116.00,151.00,163.00,213.00,234.00,261.00,277.00
KS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,7.00,13.00,14.00,17.00,17.00,15.00,10.00,8.00,8.00,7.00,10.00,11.00,17.00,18.00,17.00,17.00,17.00,21.00,21.00,25.00,27.00,37.00,47.00,53.00,64.00,78.00,78.00
KY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,7.00,11.00,14.00,15.00,12.00,15.00,10.00,10.00,10.00,10.00,10.00,10.00,12.00,12.00,15.00,14.00,21.00,25.00,25.00,38.00,48.00,60.00,73.00,86.00,105.00,118.00
