,Mountain Peak,Distance from Campsite (miles),name,Long,Lat,Peak Longitude,Peak Latitude
0,Mt. Elbert,11.667981388276619,Baby Doe,-106.351,39.27,-106.4454,39.1178
1,Mt. Elbert,11.652809237687027,Belle of Colorado,-106.34899999999999,39.269,-106.4454,39.1178
2,Mt. Elbert,16.7252073233063,Chapman,-106.637,39.309,-106.4454,39.1178
3,Mt. Elbert,6.697035225213948,Dexter,-106.325,39.092,-106.4454,39.1178
4,Mt. Elbert,17.68504323250806,Difficult,-106.774,39.141,-106.4454,39.1178
5,Mt. Elbert,16.552261032837645,Dinner Station,-106.587,38.905,-106.4454,39.1178
6,Mt. Elbert,15.742459724954145,Dorchester,-106.663,38.965,-106.4454,39.1178
7,Mt. Elbert,2.7821301363400015,Elbert Creek,-106.41799999999999,39.152,-106.4454,39.1178
8,Mt. Elbert,17.99367304549642,Elk Wallow,-106.61200000000001,39.344,-106.4454,39.1178
9,Mt. Elbert,12.020491964403671,Father Dyer,-106.352,39.275999999999996,-106.4454,39.1178
10,Mt. Elbert,19.367043027989652,Fourmile,-106.104,39.21,-106.4454,39.1178
11,Mt. Elbert,19.781122925385777,Gold Park,-106.436,39.404,-106.4454,39.1178
12,Mt. Elbert,3.9897270920041907,Halfmoon East,-106.396,39.161,-106.4454,39.1178
13,Mt. Elbert,3.800379273454957,Halfmoon West,-106.397,39.158,-106.4454,39.1178
14,Mt. Elbert,4.471395429116328,Lakeview - Twin Lakes,-106.366,39.098,-106.4454,39.1178
15,Mt. Elbert,13.380414113397638,Lincoln Gulch,-106.695,39.117,-106.4454,39.1178
16,Mt. Elbert,9.631844408411725,Lost Man,-106.625,39.122,-106.4454,39.1178
17,Mt. Elbert,10.712341033032985,Matchless,-106.36,39.258,-106.4454,39.1178
18,Mt. Elbert,11.095697326412736,Mayqueen,-106.431,39.278,-106.4454,39.1178
19,Mt. Elbert,11.248343928574595,Molly Brown,-106.353,39.264,-106.4454,39.1178
20,Mt. Elbert,3.9298112721980543,Parry Peak,-106.41,39.068000000000005,-106.4454,39.1178
21,Mt. Elbert,9.388775021156075,Portal,-106.61200000000001,39.076,-106.4454,39.1178
22,Mt. Elbert,19.138659639630816,Rivers End,-106.569,38.858000000000004,-106.4454,39.1178
23,Mt. Elbert,10.976895871235055,Silver Dollar,-106.354,39.26,-106.4454,39.1178
24,Mt. Elbert,11.869723142167741,Tabor,-106.35600000000001,39.275,-106.4454,39.1178
25,Mt. Elbert,3.7459397628081974,Twin Peaks,-106.421,39.067,-106.4454,39.1178
26,Mt. Elbert,14.72171579655908,Weller,-106.72,39.121,-106.4454,39.1178
27,Mt. Elbert,16.816944436153754,Weston Pass,-106.13600000000001,39.078,-106.4454,39.1178
28,Mt. Elbert,4.621658284796412,White Star,-106.367,39.09,-106.4454,39.1178
29,Mt. Massive,8.77713527041761,Baby Doe,-106.351,39.27,-106.4757,39.1875
30,Mt. Massive,8.814542266785397,Belle of Colorado,-106.34899999999999,39.269,-106.4757,39.1875
31,Mt. Massive,12.040109100372664,Chapman,-106.637,39.309,-106.4757,39.1875
32,Mt. Massive,10.42889701651039,Dexter,-106.325,39.092,-106.4757,39.1875
33,Mt. Massive,16.300095823413223,Difficult,-106.774,39.141,-106.4757,39.1875
34,Mt. Massive,18.365001592507234,Dorchester,-106.663,38.965,-106.4757,39.1875
35,Mt. Massive,3.9458352743032012,Elbert Creek,-106.41799999999999,39.152,-106.4757,39.1875
36,Mt. Massive,13.0417670880964,Elk Wallow,-106.61200000000001,39.344,-106.4757,39.1875
37,Mt. Massive,9.012263790533133,Father Dyer,-106.352,39.275999999999996,-106.4757,39.1875
38,Mt. Massive,19.963301170979314,Fourmile,-106.104,39.21,-106.4757,39.1875
39,Mt. Massive,15.108742462743447,Gold Park,-106.436,39.404,-106.4757,39.1875
40,Mt. Massive,4.645119084151891,Halfmoon East,-106.396,39.161,-106.4757,39.1875
41,Mt. Massive,4.682462969577901,Halfmoon West,-106.397,39.158,-106.4757,39.1875
42,Mt. Massive,8.532200591032064,Lakeview - Twin Lakes,-106.366,39.098,-106.4757,39.1875
43,Mt. Massive,12.719863167689578,Lincoln Gulch,-106.695,39.117,-106.4757,39.1875
44,Mt. Massive,9.190759237249486,Lost Man,-106.625,39.122,-106.4757,39.1875
45,Mt. Massive,7.879195439170432,Matchless,-106.36,39.258,-106.4757,39.1875
46,Mt. Massive,6.695022093549971,Mayqueen,-106.431,39.278,-106.4757,39.1875
47,Mt. Massive,8.430301871357054,Molly Brown,-106.353,39.264,-106.4757,39.1875
48,Mt. Massive,8.976330240248961,Parry Peak,-106.41,39.068000000000005,-106.4757,39.1875
49,Mt. Massive,10.616805332264411,Portal,-106.61200000000001,39.076,-106.4757,39.1875
50,Mt. Massive,8.217477490149246,Silver Dollar,-106.354,39.26,-106.4757,39.1875
51,Mt. Massive,8.808660828737946,Tabor,-106.35600000000001,39.275,-106.4757,39.1875
52,Mt. Massive,8.826979506106092,Twin Peaks,-106.421,39.067,-106.4757,39.1875
53,Mt. Massive,13.872358359644483,Weller,-106.72,39.121,-106.4757,39.1875
54,Mt. Massive,19.71575493638791,Weston Pass,-106.13600000000001,39.078,-106.4757,39.1875
