,Charging Distance,Mountain Peak,Peak Longitude,Peak Latitude
0,18.32025420258111,Mt. Massive,-106.4757,39.1875
841,19.4624864962868,Mt. Lincoln,-106.1116,39.3515
1930,16.286940519414514,Quandary Peak,-106.1064,39.3973
3086,13.45695021525932,Mt. of the Holy Cross,-106.4817,39.4668
3711,19.804094332282453,Mt. Cameron,-106.118501,39.347165000000004
4936,11.70583747904144,Mt. Harvard,-106.3207,38.9244
4961,12.20782130653269,Mt. Harvard,-106.3207,38.9244
4986,11.93006953326131,Mt. Harvard,-106.3207,38.9244
6811,14.848094789560237,Mt. Belford,-106.3607,38.9607
6835,15.329542348937304,Mt. Belford,-106.3607,38.9607
6859,15.029716838893226,Mt. Belford,-106.3607,38.9607
8539,9.857350873001453,Mt. Yale,-106.3138,38.8442
8567,10.414983464028094,Mt. Yale,-106.3138,38.8442
8595,10.297078533420535,Mt. Yale,-106.3138,38.8442
10891,14.051548800455864,Mt. Oxford (Colorado),-106.3388,38.9648
10915,14.514754638693883,Mt. Oxford (Colorado),-106.3388,38.9648
10939,14.200029162998577,Mt. Oxford (Colorado),-106.3388,38.9648
12619,9.94699989210712,Mt. Columbia,-106.2975,38.9039
12642,10.46344331397845,Mt. Columbia,-106.2975,38.9039
12665,10.204964409326509,Mt. Columbia,-106.2975,38.9039
14206,15.200165220779537,Missouri Mountain,-106.3785,38.9476
14233,15.703306392254046,Missouri Mountain,-106.3785,38.9476
14260,15.425513939070548,Missouri Mountain,-106.3785,38.9476
16393,18.018330731056995,Huron Peak,-106.4381,38.9455
16422,18.54107670107829,Huron Peak,-106.4381,38.9455
16451,18.288617997812448,Huron Peak,-106.4381,38.9455
18916,11.616840720848204,Castle Peak,-106.8614,39.0097
18932,12.775209274004917,Castle Peak,-106.8614,39.0097
18948,13.490045928919695,Castle Peak,-106.8614,39.0097
18964,14.915862807149406,Castle Peak,-106.8614,39.0097
19940,13.900893842726225,Maroon Peak,-106.98899999999999,39.0708
19958,12.39932324012409,Maroon Peak,-106.98899999999999,39.0708
19976,11.61201455752335,Maroon Peak,-106.98899999999999,39.0708
