id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
denver-beer-co-olde-town-arvada-arvada,Denver Beer Co Olde Town Arvada,micro,5768 Olde Wadsworth Blvd,,,Arvada,Colorado,Jefferson County,80002-2549,,,7/24/18 1:33,8/24/18 0:22,United States,-105.0814554,39.801625,
donavon-brewing-company-arvada,Donavon Brewing Company,planning,,,,Arvada,Colorado,Jefferson County,80005-3644,http://www.donavonbrewing.com,3039975920,7/24/18 1:33,8/11/18 21:36,United States,,,
grand-lake-brewing-co-the-arvada,"Grand Lake Brewing Co, The",brewpub,5610 Yukon St,,,Arvada,Colorado,Jefferson County,80002-2446,http://www.grandlakebrewing.com,3039081677,7/24/18 1:33,8/24/18 0:23,United States,-105.082456,39.79927412,
new-image-brewing-co-arvada,New Image Brewing Co,brewpub,5622 Yukon St,,,Arvada,Colorado,Jefferson County,80002-2446,http://www.nibrewing.com,7708811010,7/24/18 1:33,8/24/18 0:23,United States,-105.0824595,39.79938347,
odyssey-beerwerks-arvada,Odyssey Beerwerks,micro,5535 W 56th Ave Ste 107,,,Arvada,Colorado,Jefferson County,80002-2806,http://www.odysseybeerwerks.com,3034210772,7/24/18 1:33,8/11/18 21:36,United States,,,
someplace-else-brewery-arvada,SomePlace Else Brewery,micro,6425 W 52nd Ave Unit 6/6B,,,Arvada,Colorado,Jefferson County,80002-4008,,7205124162,7/24/18 1:33,8/11/18 21:36,United States,,,
spice-trade-brewing-arvada,Spice Trade Brewing,brewpub,7803 Ralston Rd,,,Arvada,Colorado,Jefferson County,80002-2433,http://www.spicetradebrewing.com,3034319000,7/24/18 1:33,8/24/18 0:24,United States,-105.0841731,39.802334,
aspen-brewing-company-aspen,Aspen Brewing Company,micro,404 Aspen Airport Business Ctr,,,Aspen,Colorado,Pitkin County,81611-3530,http://www.aspenbrewingcompany.com,9709202739,7/24/18 1:33,8/24/18 0:05,United States,-106.8597747,39.22153402,
cheluna-brewing-company-aurora,Cheluna Brewing Company,micro,2501 Dallas St Unit 148,,,Aurora,Colorado,Arapahoe County,80010-1045,http://www.cheluna.com,7206000020,7/24/18 1:33,8/11/18 21:36,United States,,,
dad-dudes-breweria-aurora,Dad & Dudes Breweria,brewpub,6730 S Cornerstar Way Ste D,,,Aurora,Colorado,Arapahoe County,80016-1571,http://breweria.com,3034005699,7/24/18 1:33,8/11/18 21:36,United States,,,
dry-dock-brewing-co-north-dock-aurora,Dry Dock Brewing Co - North Dock,regional,2801 Tower Rd,,,Aurora,Colorado,Arapahoe County,80011-3508,http://www.drydockbrewing.com,3034005606,7/24/18 1:33,8/24/18 0:22,United States,-104.772404,39.758038,
