,0,1,2,3
0,Strawberry Park Hot Springs,Strawberry Park Hot Springs,40.5597751,-106.8494164
1,The Springs Resort and Spa,The Springs Resort and Spa,37.2645878,-107.0109186
2,Waunita Hot Springs Ranch,Waunita Hot Springs Ranch,38.515375,-106.508695
3,Glenwood Hot Springs Resort,Glenwood Hot Springs Resort,39.5503769,-107.3229217
4,Avalanche Ranch Cabins & Hot Springs,Avalanche Ranch Cabins & Hot Springs,39.2478901,-107.2372981
5,Old Town Hot Springs,Old Town Hot Springs,40.4826983,-106.8278856
6,The Historic Wiesbaden Hot Springs Spa & Lodgings,The Historic Wiesbaden Hot Springs Spa & Lodgings,38.0230556,-107.6683333
7,Ouray Hot Springs Pool & Fitness Center,Ouray Hot Springs Pool & Fitness Center,38.0288821,-107.6725709
8,Indian Springs Resort,Indian Springs Resort,39.7391747,-105.5127477
9,Mount Princeton Hot Springs Resort,Mount Princeton Hot Springs Resort,38.7326015,-106.1626326
10,Hot Sulphur Springs Resort & Spa,Hot Sulphur Springs Resort & Spa,40.0748608,-106.1116915
11,Orvis Hot Springs,Orvis Hot Springs,38.1338064,-107.7350771
12,Dunton Hot Springs,Dunton Hot Springs,37.7727718,-108.0939632
13,Overlook Hot Springs Spa,Overlook Hot Springs Spa,37.2672364,-107.0107372
14,Healing Waters Resort & Spa,Healing Waters Resort & Spa,37.2659421,-107.0092546
15,Box Canyon Lodge & Hot Springs,Box Canyon Lodge & Hot Springs,38.0192316,-107.6743341
16,Durango Hot Springs Resort and Spa,Durango Hot Springs Resort and Spa,37.3911652,-107.8486352
17,Valley View Hot Springs,Valley View Hot Springs,38.1919134,-105.8153649
18,Joyful Journey Hot Springs Spa,Joyful Journey Hot Springs Spa,38.1686021,-105.9254222
19,Aqua Hot Spring & Cabin,Aqua Hot Spring & Cabin,38.7240373,-106.1736093
20,Antero Hot Springs Cabins,Antero Hot Springs Cabins,38.731589,-106.167117
21,Salida Hot Springs Aquatic Center,Salida Hot Springs Aquatic Center,38.525035,-106.009425
22,Cottonwood Hot Springs Inn & Spa,Cottonwood Hot Springs Inn & Spa,38.8127685,-106.2218187
23,Iron Mountain Hot Springs,Iron Mountain Hot Springs,39.5552778,-107.3363222
24,Twin Peaks Lodge & Hot Springs,Twin Peaks Lodge & Hot Springs,38.0193246,-107.6731782
25,Juniper Hot Springs,Juniper Hot Springs,40.466914,-107.9525785
26,Splashland,Splashland,39.8185452,-105.0307353
27,Desert Reef Hot Spring,Desert Reef Hot Spring,38.3685985,-105.0489948
28,Great Sand Dunes Swimming Pool,Great Sand Dunes Swimming Pool,37.72750490000001,-105.6418004
