,name,brewery_type,city,state,postal_code,country,longitude,latitude
5,10 Barrel Brewing Co - Denver,large,Denver,Colorado,80205-2231,United States,-104.9853655,39.7592508
11,105 West Brewing Co,micro,Castle Rock,Colorado,80109-1585,United States,-104.8667206,39.38269495
21,12Degree Brewing,brewpub,Louisville,Colorado,80027-1865,United States,-105.13198259999999,39.9782443
29,14er Brewing Company,proprietor,Denver,Colorado,80205-2235,United States,-104.9839636,39.761411200000005
77,3 Freaks Brewing Co,micro,Highlands Ranch,Colorado,80126-3926,United States,-104.9426656,39.5659575
115,4B's Brewery,brewpub,Cedaredge,Colorado,81413-3339,United States,-107.92578200000001,38.900614000000004
138,6 & 40 Brewery/Taproom,planning,Lakewood,Colorado,80215-5548,United States,-105.1100582,39.6311085
193,Acidulous Brewing Company,contract,Littleton,Colorado,80128-4046,United States,-105.10595430000001,39.53839489999999
206,Aero Craft Brewing,planning,Denver,Colorado,80212-2199,United States,-104.984696,39.739142799999996
285,Alternation Brewing Company,micro,Denver,Colorado,80210-2607,United States,-104.9876117,39.68866374
333,Angry James Brewing Co,micro,Silverthorne,Colorado,80498,United States,-106.0764637,39.63306895
346,Anheuser-Busch Inc - Fort Collins,large,Fort Collins,Colorado,80524-9400,United States,-105.0019686,40.61817811
349,Animas Brewing Co,brewpub,Durango,Colorado,81301-5186,United States,-107.8769912,37.27997215
421,Aspen Brewing Company,micro,Aspen,Colorado,81611-3530,United States,-106.8597747,39.22153402
439,Atom Brewing Company,micro,Erie,Colorado,80516,United States,-105.0542327,40.0488359
461,Avalanche Brewing Co,brewpub,Silverton,Colorado,81433-0377,United States,-107.664791,37.809889899999995
462,Avery Brewing Co,regional,Boulder,Colorado,80301-3242,United States,-105.2047652,40.0625835
558,Banded Oak Brewing Company,brewpub,Denver,Colorado,80203-3404,United States,-104.98741869999999,39.728289700000005
622,Barrel Dog Brewing,micro,Evergreen,Colorado,80439,United States,-105.321458,39.636163700000004
632,Barrels & Bottles Brewery,brewpub,Golden,Colorado,80401-6145,United States,-105.2202098,39.756210700000004
720,Beer By Design Brewery,contract,Thornton,Colorado,80233-2533,United States,-104.9417886,39.928562299999996
800,Bierstadt Lagerhaus,brewpub,Denver,Colorado,80205-2210,United States,-104.9838084,39.7630094
801,BierWerks,brewpub,Woodland Park,Colorado,80863,United States,-105.0519462,38.9941414
818,Big Choice Brewing Co,micro,Brighton,Colorado,80601-1603,United States,-104.82243299999999,39.98642943
854,Big Thompson Brewery,micro,Loveland,Colorado,80538-3832,United States,-105.07466869999999,40.40811243
909,BJs Restaurant & Brewery - Boulder,brewpub,Boulder,Colorado,80301-,United States,-105.25851200000001,40.0291592
918,Black Beak Brewing,planning,Denver,Colorado,80237-1907,United States,-104.984696,39.739142799999996
922,Black Cat Brewing,planning,Boulder,Colorado,80302,United States,-105.2705456,40.0149856
954,Black Project Spontaneous & Wild Ales,micro,Denver,Colorado,80210-1504,United States,-104.9872018,39.6933607
957,Black Shirt Brewing Co,brewpub,Denver,Colorado,80205-2436,United States,-104.9729604,39.769814200000006
958,Black Sky Brewery,brewpub,Denver,Colorado,80204-5024,United States,-104.9983183,39.72394310000001
1016,Blue Moon Brewery,large,Denver,Colorado,80216-3632,United States,-104.97694170000001,39.7735561
1091,Bonfire Brewing,micro,Eagle,Colorado,81631,United States,-106.82826000000001,39.65531966
1113,Bootstrap Brewing Co,micro,Niwot,Colorado,80503-7118,United States,-105.1691581,40.09681247
1114,Bootstrap Brewing,micro,Longmont,Colorado,80501,United States,-105.1062808,40.16140505
1134,Bottom Shelf Brewery,brewpub,Bayfield,Colorado,81122,United States,-107.5990683,37.2251348
1136,Boulder Beer Co,regional,Boulder,Colorado,80301-5401,United States,-105.2480158,40.026439
1137,Boulder Beer On Walnut,brewpub,Boulder,Colorado,80302-5116,United States,-105.2804375,40.0168555
1159,Brass Brewing Company,micro,Colorado Springs,Colorado,80903-1949,United States,-104.81897059999999,38.8326073
1185,Breckenridge Brewery & Pub,large,Breckenridge,Colorado,80424-0075,United States,-106.0445665,39.47620392
1203,Brew Pub and Kitchen,brewpub,Durango,Colorado,81301-5407,United States,-107.88315490000001,37.27036464
1241,Brewery Rickoli,micro,Wheat Ridge,Colorado,80033-4621,United States,-105.08180459999998,39.7757286
1305,Bristol Brewing Co,micro,Colorado Springs,Colorado,80905-2237,United States,-104.827401,38.810861700000004
1310,Brix Taphouse and Brewery,brewpub,Greeley,Colorado,80631-3911,United States,-104.69113709999999,40.42495461
1353,BRU Handbuilt Ales and Eats,brewpub,Boulder,Colorado,80303-1269,United States,-105.2293345,40.014146200000006
1375,Buckhorn Brewers LLC,micro,Loveland,Colorado,80537-9202,United States,-105.09257350000001,40.4058904
1396,Bull & Bush Brewery,brewpub,Denver,Colorado,80246-1819,United States,-104.9488456,39.7116689
1416,Burgundian Brewing Co.,micro,Denver,Colorado,80211-2334,United States,-105.0024095,39.782516799999996
1441,Butcherknife Brewing Company,micro,Steamboat Springs,Colorado,80487-5076,United States,-106.85776299999999,40.510887
1454,C.B. and Potts/Big Horn Brewery - Highlands Ranch,brewpub,Highlands Ranch,Colorado,80129-2323,United States,-104.9887246,39.56211674
1455,C.B. and Potts/Big Horn Brewery - Westminster,brewpub,Westminster,Colorado,80234-2725,United States,-105.0040899,39.91376115
1474,Call To Arms Brewing Company,micro,Denver,Colorado,80212-2527,United States,-105.0435373,39.778854100000004
1516,Carbondale Beer Works,brewpub,Carbondale,Colorado,81623-1934,United States,-107.2134909,39.40060712
1530,Carver Brewing Co,brewpub,Durango,Colorado,81301-5124,United States,-107.8800415,37.2748415
1591,Cerberus Brewing Company,brewpub,Colorado Springs,Colorado,80905-1539,United States,-104.8374071,38.833057399999994
1593,Cerebral Brewing,micro,Denver,Colorado,80206-2708,United States,-104.94517830000001,39.73968253
1600,Chain Reaction Brewing Company,micro,Denver,Colorado,80223-2717,United States,-105.00162900000001,39.69879376
1682,City Star Brewing,micro,Berthoud,Colorado,80513-,United States,-105.08094650000001,40.30505214
1736,Cogstone Brewing Co,brewpub,Colorado Springs,Colorado,80917-2801,United States,-104.75565999999999,38.87959595
1756,Colorado Boy Pizzeria,brewpub,Montrose,Colorado,81401-3928,United States,-107.877366,38.47887872
1757,Colorado Boy Pub & Brewery,brewpub,Ridgway,Colorado,81432-0877,United States,-107.75776850000001,38.152358
1758,Colorado Farm Brewery,micro,Alamosa,Colorado,81101-9116,United States,-105.98559180000001,37.40026048
1760,Colorado Mountain Brewery,micro,Colorado Springs,Colorado,80921-4182,United States,-104.8083989,38.99103716
1761,Colorado Plus,brewpub,Wheat Ridge,Colorado,80033-4965,United States,-105.09163840000001,39.769352399999995
1817,CooperSmiths Pub and Brewing,brewpub,Fort Collins,Colorado,80524-2446,United States,-105.07551880000001,40.5873784
1822,Copper Club Brewing Co,micro,Fruita,Colorado,81521-2205,United States,-108.73149209999998,39.159163799999995
1877,Crabtree Brewing,micro,Greeley,Colorado,80631-8538,United States,-104.7875038,40.389900399999995
1897,Crazy Mountain Brewing Co,regional,Denver,Colorado,80204-5019,United States,-105.0002926,39.72361171
1939,Crow Hop Brewing Co. Ltd.,micro,Loveland,Colorado,80537-5632,United States,-105.07351440000001,40.39536486
1955,Crystal Springs Brewing Co,micro,Louisville,Colorado,80027-3063,United States,-105.119781,39.964883
2043,Declaration Brewing Company,micro,Denver,Colorado,80223-3917,United States,-104.99100559999998,39.67973155
2073,Denver Beer Co Canworks,micro,Denver,Colorado,80211-2412,United States,-105.00083020000001,39.7769429
2074,Denver Beer Co,micro,Denver,Colorado,80202-1123,United States,-105.00725020000002,39.758314299999995
2075,Denver Beer Co Olde Town Arvada,micro,Arvada,Colorado,80002-2549,United States,-105.0814554,39.801625
2094,DeSteeg Brewing Co/Blind Faith Brewing,micro,Denver,Colorado,80212-2308,United States,-105.0438193,39.7760619
2129,Diebolt Brewing,micro,Denver,Colorado,80211-2647,United States,-105.00320790000002,39.770332
2131,Dillon Dam Brewery,brewpub,Dillon,Colorado,80435-4845,United States,-106.0603129,39.62760465
2174,Dodgeton Creek Brewing Co.,planning,Trinidad,Colorado,81082-9788,United States,-104.50054109999999,37.169397
2186,Dolores River Brewery,brewpub,Dolores,Colorado,81323-1003,United States,-108.504562,37.47323
2195,Dos Luces Brewery,contract,Denver,Colorado,80210-1504,United States,-104.9874923,39.68300670000001
2196,Dostal Alley Brewing Co,brewpub,Central City,Colorado,80427,United States,-105.512426,39.80014310000001
2250,Dry Dock Brewing Co - North Dock,regional,Aurora,Colorado,80011-3508,United States,-104.77240400000001,39.758038
2251,Dry Dock Brewing Co- South Dock,micro,Aurora,Colorado,80014-3906,United States,-104.76800959999998,39.6529424
2267,Dueces Wild Brewery,micro,Colorado Springs,Colorado,80915-4002,United States,-104.70343179999999,38.8877651
2281,Durango Brewing Co,brewpub,Durango,Colorado,81301-4245,United States,-107.871981,37.297647
2326,Echo Brewing Cask and Barrel,brewpub,Erie,Colorado,80516-0794,United States,-105.0477679,40.05042825
2327,Echo Brewing Company,brewpub,Frederick,Colorado,80530,United States,-104.944202,40.111447999999996
2335,Eddyline Brewing LLC,micro,Buena Vista,Colorado,81211-5106,United States,-106.131606,38.84025
2340,Edgewater Brewery,brewpub,Grand Junction,Colorado,81501-3804,United States,-108.5575144,39.05565588
2364,Elevation Beer Company,micro,Poncha Springs,Colorado,81242,United States,-106.0659377,38.51804434
2370,Elk Avenue Brewing Company,brewpub,Crested Butte,Colorado,81224,United States,-106.9861689,38.86984685
2413,Endo Brewing Company,micro,Lafayette,Colorado,80026-8023,United States,-105.1341065,40.014431099999996
2426,"Epic Brewing Co., LLC",micro,Denver,Colorado,80205-2324,United States,-104.9813405,39.7632294
2434,Equinox Brewing,micro,Fort Collins,Colorado,80524-2833,United States,-105.07571340000001,40.5863266
2444,Estes Park Brewery,micro,Estes Park,Colorado,80517,United States,-105.52613170000001,40.3714876
2476,Factotum Brewhouse,micro,Denver,Colorado,80211-2651,United States,-105.0020653,39.770204299999996
2520,FATE Brewing Company,brewpub,Boulder,Colorado,80301-2610,United States,-105.2454818,40.0149794
2542,Fermaentra,micro,Denver,Colorado,80210-4601,United States,-104.94286310000001,39.6784277
2552,FH Beerworks,micro,Colorado Springs,Colorado,80903-3928,United States,-104.82373179999999,38.8260086
2555,Fiction Beer Company,micro,Denver,Colorado,80220-1805,United States,-104.8854207,39.740218799999994
